imdbId;year;spanishTitle;originalTitle;englishTitle;ratingImdb;numVotes;metascore;isAdult;certificate;runtimeMinutes;genres;directors;writers;stars;countries;companies;awards;budget;grossUsCanada;openingUsCanada;grossWorld;profit;roi
tt0365907;2014.0;Caminando entre las tumbas;A Walk Among the Tombstones;A Walk Among the Tombstones;6.5;114950.0;57.0;0.0;18;114.0;Action,Crime,Drama;Scott Frank;Lawrence Block,Scott Frank;Lawrence Block,Scott Frank;United States;1984 Private Defense Contractors,Cross Creek Pictures,Da Vinci Media Ventures;"Awards
1 nomination";28000000.0;26307600.0;12758780.0;58834384.0;30834384.0;1.101228
tt0435651;2014.0;The Giver;The Giver;The Giver;6.5;114078.0;47.0;0.0;Not Rated;97.0;Drama,Romance,Sci-Fi;Phillip Noyce;Michael Mitnick,Robert B. Weide,Lois Lowry;Michael Mitnick,Robert B. Weide,Lois Lowry;United States,South Africa,Canada;Tonik Productions,Asis Productions,Canada Film Capital;"Awards
3 wins & 6 nominations";25000000.0;45090374.0;12305016.0;66980456.0;41980456.0;1.67921824
tt0455944;2014.0;The Equalizer: El protector;The Equalizer;The Equalizer;7.2;343729.0;57.0;0.0;18;132.0;Action,Crime,Thriller;Antoine Fuqua;Richard Wenk,Michael Sloan,Richard Lindheim;Richard Wenk,Michael Sloan,Richard Lindheim;United States;Columbia Pictures,LStar Capital,Village Roadshow Pictures;"Awards
1 win & 9 nominations";55000000.0;101530738.0;34137828.0;192330738.0;137330738.0;2.496922509090909
tt0458413;2014.0;Mejor otro día;A Long Way Down;A Long Way Down;6.4;31744.0;34.0;0.0;7;96.0;Comedy,Drama;Pascal Chaumeil;Nick Hornby,Jack Thorne;Nick Hornby,Jack Thorne;United Kingdom,Germany;Wildgaze Films,BBC Films,DCM Productions;NaN;12000000.0;13347.0;1426.0;7257942.0;-4742058.0;-0.3951715
tt0458481;2014.0;Sin City: Una dama por la que matar;Sin City: A Dame to Kill For;Sin City: A Dame to Kill for;6.5;154921.0;46.0;0.0;Not Rated;102.0;Action,Crime,Thriller;Frank Miller,Robert Rodriguez;Frank Miller;Frank Miller;United States;Aldamisa Entertainment,Demarest Films,Dimension Films;"Awards
4 wins & 6 nominations";65000000.0;13757804.0;6317683.0;39407616.0;-25592384.0;-0.39372898461538464
tt0470752;2014.0;Ex_Machina;Ex Machina;Ex Machina;7.7;491778.0;78.0;0.0;12;108.0;Drama,Sci-Fi,Thriller;Alex Garland;Alex Garland;Alex Garland;United Kingdom;A24,Universal Pictures,Film4;"Won 1 Oscar
73 wins & 161 nominations total";15000000.0;25442958.0;237264.0;36869414.0;21869414.0;1.4579609333333334
tt0780548;2014.0;Kid Cannabis;Kid Cannabis;Kid Cannabis;6.4;9612.0;54.0;0.0;Not Rated;110.0;Biography,Comedy,Crime;John Stockwell;John Stockwell,Mark Binelli;John Stockwell,Mark Binelli;United States;Gordon Bijelonic / Datari Turner Films,Wingman Productions,Imprint Entertainment;"Awards
1 nomination";5000000.0;5565.0;5565.0;5565.0;-4994435.0;-0.998887
tt0787474;2014.0;Los Boxtrolls;The Boxtrolls;The Boxtrolls;6.8;55263.0;61.0;0.0;A;96.0;Adventure,Animation,Comedy;Graham Annable,Anthony Stacchi;Irena Brignull,Adam Pava,Alan Snow;Irena Brignull,Adam Pava,Alan Snow;United States,United Kingdom;Focus Features,Laika Entertainment;"Nominated for 1 Oscar
8 wins & 61 nominations total";60000000.0;50837305.0;17275239.0;108255770.0;48255770.0;0.8042628333333334
tt0816692;2014.0;Interstellar;Interstellar;Interstellar;8.6;1577934.0;74.0;0.0;12;169.0;Adventure,Drama,Sci-Fi;Christopher Nolan;Jonathan Nolan,Christopher Nolan;Jonathan Nolan,Christopher Nolan;United States,United Kingdom,Canada;Paramount Pictures,Warner Bros.,Legendary Entertainment;"Won 1 Oscar
44 wins & 148 nominations total";165000000.0;188020017.0;47510360.0;701729206.0;536729206.0;3.2529042787878786
tt0829150;2014.0;Drácula: La leyenda jamás contada;Dracula Untold;Dracula Untold;6.3;184120.0;40.0;0.0;16;92.0;Action,Drama,Fantasy;Gary Shore;Matt Sazama,Burk Sharpless,Bram Stoker;Matt Sazama,Burk Sharpless,Bram Stoker;United States,United Kingdom,Ireland;Universal Pictures,Legendary Entertainment,Michael De Luca Productions;"Awards
3 wins & 5 nominations";70000000.0;56280355.0;23514615.0;217124280.0;147124280.0;2.1017754285714285
tt0831387;2014.0;Godzilla;Godzilla;Godzilla;6.4;393851.0;62.0;0.0;12;123.0;Action,Adventure,Sci-Fi;Gareth Edwards;Ishirô Honda,Takeo Murata,Shigeru Kayama;Ishirô Honda,Takeo Murata,Shigeru Kayama;United States,Japan;Warner Bros.,Legendary Entertainment,Disruption Entertainment;"Awards
7 wins & 31 nominations";160000000.0;200676069.0;93188384.0;524976069.0;364976069.0;2.28110043125
tt0839742;2014.0;Bhopal: A Prayer for Rain;Bhopal: A Prayer for Rain;Bhopal: A Prayer for Rain;7.2;1974.0;50.0;0.0;Not Rated;96.0;Drama;Ravi Kumar;Ravi Kumar,David Brooks;Ravi Kumar,David Brooks;United Kingdom,India,United States;Rising Star Entertainment,Wardour Media Group,Sahara One Motion Pictures;"Awards
1 nomination";6000000.0;12628.0;5948.0;12628.0;-5987372.0;-0.9978953333333334
tt0864835;2014.0;Las aventuras de Peabody y Sherman;Mr. Peabody & Sherman;Mr. Peabody & Sherman;6.8;64545.0;59.0;0.0;A/i;92.0;Adventure,Animation,Comedy;Rob Minkoff;Jay Ward,Craig Wright,Robert Ben Garant;Jay Ward,Craig Wright,Robert Ben Garant;United States;Bullwinkle Studios,Classic Media Productions,DreamWorks Animation;"Awards
2 wins & 16 nominations total";145000000.0;111506430.0;32207057.0;275698039.0;130698039.0;0.9013657862068966
